,Nama_Produk,Akun,ulasan,rate,,,,,Ulasan_clean
32,Masker Evo PlusMed 4d Medis - Putih,L***a,packingan sangat bagus rapi  di bubblewrap dan pengiriman sangat cepat sesuai janjinya besok sampe  sangat puas,5,,,,,packingan bagus rapi bubblewrap kirim cepat sesuai janji besok puas
33,Masker Evo PlusMed 4d Medis - Putih,cynthia,kualitas okpengiriman cepet bangetdapet cashback lagi ,5,,,,,kualitas okpengiriman cepat bangetdapet cashback
34,Masker Evo PlusMed 4d Medis - Putih,B***k,barang sesuai pesanan dan cepat sampai,5,,,,,barang sesuai pesan cepat
35,Masker Evo PlusMed 4d Medis - Putih,Novi,barang asli evorecomended,5,,,,,barang asli evorecomended
36,Masker Evo PlusMed 4d Medis - Putih,J***a,pesen masker warna hijau datangnya warna pink,2,,,,,pesan masker warna hijau datang warna pink
37,Masker Evo PlusMed 4d Medis - Putih,G***i,baru pertama order pengemasan bagus spt biasa cepat dan semoga nambah warna lain yg cute yaaa,5,,,,,order emas bagus cepat moga tambah warna cute ya
38,Masker Evo PlusMed 4d Medis - Putih,M***i,selalu jd pilihan no   masker medis sy dan keluarga,5,,,,,pilih no masker medis keluarga
39,Masker Evo PlusMed 4d Medis - Putih,Felix,dari mulai packing hingga ke fisik barang rapi dan safety terima kasih dapat souvenir na lagi,5,,,,,packing fisik barang rapi safety terima kasih souvenir nya
40,Masker Evo PlusMed 4d Medis - Putih,Celine,bagusss,5,,,,,bagus
41,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,J***a,langganan,5,,,,,langgan
42,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Rita,sukaa rapat nyaman banget,5,,,,,suka rapat nyaman banget
43,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Y***A,proses cepat respon penjual ramah packaging rapi mantaaaaaapp,5,,,,,proses cepat respon jual ramah packaging rapi mantaaaaaapp
44,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,B***a,good quality  terpercaya,5,,,,,good quality percaya
45,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Derry,pengiriman cepat pdhal dari bandung mantap lah,5,,,,,kirim cepat bandung mantap
46,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Firdaus,respon cepat packing rapi pengiriman tepat waktu barang sesuai,5,,,,,respon cepat packing rapi kirim barang sesuai
47,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,N***a,produk asli terbungkus plastik segel lebih mahal dari toko lain tapi terjamin kualitasnya,5,,,,,produk asli bungkus plastik segel mahal toko jamin kualitas
48,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Denys,bagus,5,,,,,bagus
49,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,R***z,recomended,5,,,,,rekomendasi
50,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,A***i,pengiriman nya cepat,5,,,,,kirim nya cepat
51,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Nova,re order yg ke sekian kali mantaap puas order di sini,5,,,,,re order sekian kali mantap puas order
52,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,A***d,barang sudah di terima  terima kasih,5,,,,,barang terima terima kasih
53,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,edduwar,barang baguz dan cepat tiba,5,,,,,barang baguz cepat
54,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Seindah,gak pernah rugi beli di toko ini rekomended,5,,,,,rugi beli toko rekomendasi
55,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,A***s,,5,,,,,
56,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,David,mantul ,5,,,,,mantul
57,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Anggia,hanya dibungkus plastik dan bukan sealed di dalam banyak debu dan kotor  lain,2,,,,,bungkus plastik sealed debu kotor
58,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,W***a,sippp pembelian ke   ,5,,,,,sippp beli
59,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,M***d,manstap,5,,,,,manstap
60,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Edwin,barang diterima dengan baik,5,,,,,barang terima
61,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,a***a,terbaik,5,,,,,baik
62,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,dharma,,5,,,,,
63,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,Lesmono,warna kalem bisa dipakai bini sesuai bajunya,5,,,,,warna kalem pakai bini sesuai baju
64,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,s***i,tooopp puuaaassss,5,,,,,tooopp puuaaassss
65,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,S***i,barang sesuai pesanan dan bagus hanya pengirimannya lebih lama dari umumnya,5,,,,,barang sesuai pesan bagus kirim
66,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,Melani,bagus rapih juga ga ada foto karna langsung dipakai talinya ga gampang putus tapi malah relatif sakit ditelinga makasih ya,5,,,,,bagus rapi foto langsung pakai tali gampang putus relatif sakit telinga terima kasih ya
67,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,Darwin,ok,5,,,,,ok
68,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,SETIAWAN,packing rapi respon cepat,5,,,,,packing rapi respon cepat
69,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,arief,mantap jiwa moga harganya bisa turun lg,5,,,,,mantap jiwa moga harga turun
70,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,arief,next order,5,,,,,next order
71,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,H***k,kualitas bagus gak abal  ,5,,,,,kualitas bagus abal
72,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,d***i,recommend kurirnya baikk,5,,,,,rekomendasi kurir
73,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Rizki,udah langganan beli masker di sini kualitas maskernya bagus dan pengiriman cepat harganya juga affordable thank you ,5,,,,,langgan beli masker kualitas masker bagus kirim cepat harga affordable thank you
74,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Irfan,paket sesuai gambar dan diskripsi pengiriman termasuk cepatrecomended seller,5,,,,,paket sesuai gambar skripsi kirim cepat seller
75,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Lupir,semenjak wabah ini melanda beli masker medis di toko ini sangat rekomendasi banget terimakasih,5,,,,,semenjak wabah landa beli masker medis toko rekomendasi banget terimakasih
76,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Mueeza,saya gak bs bedain merk yg satu dgn yg lain pas dtg brgnya terkesan sama aja mudah an ga ada mslh,4,,,,,beda merk brgnya kes mudah an
77,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,G***g,order pagi bada isya udah sampe loh mantap pisan makasih banyak yah gan sukses selalu untuk lapaknya semoga tambah barokah,5,,,,,order pagi bada isya loh mantap pis terima kasih ya gan sukses lapak moga barokah
78,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Agit,box rapi packing rapi barang sesuai dgn gambar  seller respon ke customer,5,,,,,box rapi packing rapi barang sesuai gambar seller respon customer
79,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,H***k,mantapp thanks,5,,,,,mantap thanks
80,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,S***a,,5,,,,,
81,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Z***i,barang bagus sesuai deskripsimakasih,5,,,,,barang bagus sesuai deskripsimakasih
82,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,M***M,sdh   kl order,5,,,,,order
83,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Dimas,original tebal tapi nyaman,5,,,,,original tebal nyaman
84,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Endah,ok bgt,5,,,,,ok banget
85,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Adhi,tipis sih cuma jadi ragu dibandingkan dengan type lain sejenis yang  ply karena kelihatannya ini tidak   ply,3,,,,,tipis sih ragu banding type jenis ply ply
86,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,d***a,maskernya ngak ada plastik sebelum masuk dus,4,,,,,masker plastik masuk dus
87,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,D***g,paket komplit ni seller fast responramahbarang mantaprekomendasi terbaik deh belanja disini mantaf,5,,,,,paket komplit seller fast responramahbarang mantaprekomendasi baik deh belanja mantaf
88,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Anggi,oke banget enak di pakai sampai dgn cepat,5,,,,,oke banget enak pakai cepat
89,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,A***s,overall produknya ok nyaman dipakai seharihari cm sayangnya pas sampai di saya packagingnya kardusnya agak penyok di bbrp sisi tapi masih tersegel rapih,5,,,,,overall produk ok nyaman pakai seharihari sayang packagingnya kardus penyok sisi segel rapi
90,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Wiwit,maskernya sesuai untuk digunakan sehari  enak dipakai dan mudah untuk bernapas cuman yg warna putih jdi kliatan bnget nerawangnya jdi kaya tipis gtu,5,,,,,masker sesuai hari enak pakai mudah napas cuman warna putih banget nerawangnya kayak tipis
91,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Iwan,barang sudah sampai dgn kondisi bagus dan pengiriman tepat waktu,5,,,,,barang kondisi bagus kirim
92,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,J***o,barangnya bagus sesuai deskripsi,5,,,,,barang bagus sesuai deskripsi
93,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Rully,barang ok sesuai deskripsi pengiriman cepat,5,,,,,barang ok sesuai deskripsi kirim cepat
94,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,aan,puas bgtthank   seller,5,,,,,puas bgtthank seller
95,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,M***d,mantap,5,,,,,mantap
96,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Trian,mantap ni beli yg ke   harga trun thanks,5,,,,,mantap beli harga turun thanks
97,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,L***i,lumayan bagus harga murah,5,,,,,lumayan bagus harga murah
98,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Ryan,pengiriman cepat dan barang sesuai,5,,,,,kirim cepat barang sesuai
99,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Hendry,,5,,,,,
100,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Eleonora,pengiriman cepat admin ramah,5,,,,,kirim cepat admin ramah
101,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,i***d,barang sesuai deskripsi dan pengirimannya cepet banget,5,,,,,barang sesuai deskripsi kirim cepat banget
102,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,J***n,bagus ,5,,,,,bagus
103,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,I***I,pengiriman cepat respon penjual oke,5,,,,,kirim cepat respon jual oke
104,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Risca,maskernya agak tipis ya bund,3,,,,,masker tipis ya bunda
105,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,ruth,bagusssss dan murah,5,,,,,bagus murah
106,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Nanda,sesuai dan cepat sampai,5,,,,,sesuai cepat
107,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,ijah,sdh sampai,5,,,,,
108,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Oppie,terima kasih ,5,,,,,terima kasih
109,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Hargianto,,5,,,,,
110,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Syafaun,pelayanan toko yang baik dan produk yang selalu bagus,5,,,,,layan toko produk bagus
111,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,yuyun,baguuussss sesuaii rapii dikemasnya,5,,,,,bagus sesuai rapi kemas
112,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,L***a,ukuran karetnya agak kebesaran untuk muka saya jadi kadang maskernya merosot,5,,,,,ukur karet besar muka kadang masker merosot
113,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,H***y,bagus hanya tidak ada boxnya,5,,,,,bagus boxnya
114,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,L***y,ok banget kualitas dan prosesnya,5,,,,,ok banget kualitas proses
115,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,Ridwan,ternyata for nonmedical use tapi its ok lah lebih baik dideskripsikan sesuai aslinya,4,,,,,for nonmedical use its ok deskripsi sesuai asli
116,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,Duarte,kualitas masker jelek banyak masker yg bolong tidak terjahit dengan benar lalu isinya cuma   ply kalo jualan yg bener bos,1,,,,,kualitas masker jelek masker bolong jahit isi ply kalo jual bos
117,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,M***a,size telinganya kecil,3,,,,,size telinga
118,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,Anandya,masker bagus tapi kekecilan di wajah besar saya ,5,,,,,masker bagus kecil wajah
119,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,Leksono,pengiriman bagus barang sesuai,5,,,,,kirim bagus barang sesuai
120,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,Zihan,lumanyan,4,,,,,lumanyan
121,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,w***y,mantap,5,,,,,mantap
122,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,M,barang datang lebih cepat dari estimasi seller responsif packaging oke barang lengkap dan utuh terima kasih,5,,,,,barang cepat estimasi seller responsif packaging oke barang lengkap utuh terima kasih
123,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,D***y,mantul fast respon pengiriman cepat,5,,,,,mantul fast respon kirim cepat
124,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Jack,sesuai sama foto dan kualitasnya bagus banget buat range harganya langganan deh,5,,,,,sesuai foto kualitas bagus banget range harga langgan deh
125,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,warham,sudah langganan disini cuman untuk pemesanan kemarin lumayan tertunda   harian karena belum siap untuk mengirim,5,,,,,langgan cuman mesan kemarin lumayan tunda hari kirim
126,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,warham,mantap selalu tepat pesanannya,5,,,,,mantap pesan
127,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,novaris,respon cepat pengiriman kilat barang sesuai mantaps,5,,,,,respon cepat kirim kilat barang sesuai mantaps
128,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,D***t,mantap  mau beli lg,5,,,,,mantap beli
129,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,A***i,proses cepatproduct sesuai,5,,,,,proses cepat sesuai
130,Disposable Face Mask 50pcs/BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,P***t,pengiriman cepatmakasih,5,,,,,kirim cepat
131,Masker Kesehatan 3ply Earloop isi 50 pcs,Halalova,pengirimannya cepat barang bagus,5,,,,,kirim cepat barang bagus
132,Masker Kesehatan 3ply Earloop isi 50 pcs,H***y,barang sampai dengan selamat packing rapi pengiriman cepat kurrir ramah seller fast respon recommended pokok nya ,5,,,,,barang selamat packing rapi kirim cepat kurrir ramah seller fast respon rekomendasi pokok nya
133,Masker Kesehatan 3ply Earloop isi 50 pcs,Anggit,langganan masker dsni terus mantap,5,,,,,langgan masker mantap
134,Masker Kesehatan 3ply Earloop isi 50 pcs,HARIS,barang mantap respon cepattoko yang recommended untuk berbelanja pesan hri ini hari ini juga langusng dikirimbelanja ke    nya ,5,,,,,barang mantap respon cepat rekomendasi belanja pesan langusng dikirimbelanja nya
135,Masker Kesehatan 3ply Earloop isi 50 pcs,G***u,fast respon order jm   sore langsung dikirim pakek gosend,5,,,,,fast respon order jm sore langsung kirim pakai gosend
136,Masker Kesehatan 3ply Earloop isi 50 pcs,FAJARNO,ini belanja yg ke  pokoknya mantappp,5,,,,,belanja pokok mantap
137,Masker Kesehatan 3ply Earloop isi 50 pcs,S***n,mantap kedua kalinya,5,,,,,mantap kali
138,Masker Kesehatan 3ply Earloop isi 50 pcs,sugiarti,pengiriman cpt brg sesuai pic tq,5,,,,,kirim cepat bareng sesuai pic tq
139,Masker Kesehatan 3ply Earloop isi 50 pcs,Kadek,good,4,,,,,good
140,Masker Kesehatan 3ply Earloop isi 50 pcs,John,barangnya sesuai dgn yg di tawarkan,5,,,,,barang sesuai tawar
141,Masker Karet Pink OneMed box 50pcs,H***l,prosesnya cepat barang sesuai deskripsi dan packing dengan box  bubble wrap,5,,,,,proses cepat barang sesuai deskripsi packing box bubble wrap
142,Masker Karet Pink OneMed box 50pcs,Y***a,ke dua kalinya beli disini mantap cepat,5,,,,,kali beli mantap cepat
143,Masker Karet Pink OneMed box 50pcs,R***s,pengemasannya bagus banget sip terima kasih,5,,,,,emas bagus banget sip terima kasih
144,Masker Karet Pink OneMed box 50pcs,N***h,kedua kaliny beli disini pengiriman cepat barang juga oke segel on recommended ,5,,,,,kaliny beli kirim cepat barang oke segel on rekomendasi
145,Masker Karet Pink OneMed box 50pcs,M***r,admin nya kurang ramah ditanyain malah ditawarin cancel barang kalo produk sih bagus dan ori dan aman hanya saja karena toko keramean kali ya jawab nya malah disuruh cancel konsumen nya seperti ga perlu penjualan bole di tingkat kan lagi untuk service nya,4,,,,,admin nya ramah ditanyain ditawarin cancel barang kalo produk sih bagus orisinal aman toko keramean kali ya nya suruh cancel konsumen nya jual tingkat service nya
146,Masker Karet Pink OneMed box 50pcs,Enjel,bagus sip,5,,,,,bagus sip
147,Masker Karet Pink OneMed box 50pcs,H***o,fast respon packaging bagus tq,5,,,,,fast respon packaging bagus tq
148,Masker Karet Pink OneMed box 50pcs,Dwi,puass bangett masker onemed emang berkualitas,5,,,,,puass banget masker onemed kualitas
