,Nama_Produk,Akun,ulasan,rate,ulasan_tokenize,ulasan_normalized,ulasan_stop_removed,ulasan_Stemmed,ulasan_clean
10,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,M***e,pengiriman cepat sesuai pesanan respon penjual cepat dan ramah,5,"['pengiriman', 'cepat', 'sesuai', 'pesanan', 'respon', 'penjual', 'cepat', 'dan', 'ramah']","['pengiriman', 'cepat', 'sesuai', 'pesanan', 'respon', 'penjual', 'cepat', 'dan', 'ramah']","['pengiriman', 'cepat', 'sesuai', 'pesanan', 'respon', 'penjual', 'cepat', 'ramah']","['kirim', 'cepat', 'sesuai', 'pesan', 'respon', 'jual', 'cepat', 'ramah']",kirim cepat sesuai pesan respon jual cepat ramah
11,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,R***I,barang diterima sesuai pesanan dan aman,5,"['barang', 'diterima', 'sesuai', 'pesanan', 'dan', 'aman']","['barang', 'diterima', 'sesuai', 'pesanan', 'dan', 'aman']","['barang', 'diterima', 'sesuai', 'pesanan', 'aman']","['barang', 'terima', 'sesuai', 'pesan', 'aman']",barang terima sesuai pesan aman
12,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Frida,nan,5,['nan'],['nan'],['nan'],['nan'],nan
13,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Renold,kecewa berat dgn masker hijab warna hitamnya tali masker gampang putus krn tali masker terlalu pendek,1,"['kecewa', 'berat', 'dgn', 'masker', 'hijab', 'warna', 'hitamnya', 'tali', 'masker', 'gampang', 'putus', 'krn', 'tali', 'masker', 'terlalu', 'pendek']","['kecewa', 'berat', 'dgn', 'masker', 'hijab', 'warna', 'hitamnya', 'tali', 'masker', 'gampang', 'putus', 'krn', 'tali', 'masker', 'terlalu', 'pendek']","['kecewa', 'berat', 'dgn', 'masker', 'hijab', 'warna', 'hitamnya', 'tali', 'masker', 'gampang', 'putus', 'krn', 'tali', 'masker', 'pendek']","['kecewa', 'berat', 'dgn', 'masker', 'hijab', 'warna', 'hitam', 'tali', 'masker', 'gampang', 'putus', 'krn', 'tali', 'masker', 'pendek']",kecewa berat dgn masker hijab warna hitam tali masker gampang putus krn tali masker pendek
14,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Roy,pengiriman sesuai estimasi terbaik lah,5,"['pengiriman', 'sesuai', 'estimasi', 'terbaik', 'lah']","['pengiriman', 'sesuai', 'estimasi', 'terbaik', 'lah']","['pengiriman', 'sesuai', 'estimasi', 'terbaik']","['kirim', 'sesuai', 'estimasi', 'baik']",kirim sesuai estimasi baik
15,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Ridwan,karet headloop nya agak pendek saya istri tidak bisa pakai untungnya punya anak kecil jadi tidak masih bisa digunakan,3,"['karet', 'headloop', 'nya', 'agak', 'pendek', 'saya', 'istri', 'tidak', 'bisa', 'pakai', 'untungnya', 'punya', 'anak', 'kecil', 'jadi', 'tidak', 'masih', 'bisa', 'digunakan']","['karet', 'headloop', 'nya', 'sedikit', 'pendek', 'saya', 'istri', 'tidak', 'bisa', 'pakai', 'untungnya', 'punya', 'anak', 'kecil', 'jadi', 'tidak', 'masih', 'bisa', 'digunakan']","['karet', 'headloop', 'nya', 'pendek', 'istri', 'pakai', 'untungnya', 'anak']","['karet', 'headloop', 'nya', 'pendek', 'istri', 'pakai', 'untung', 'anak']",karet headloop nya pendek istri pakai untung anak
16,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Fatma,barang bagus hrga murah pelayanan memuaskan,5,"['barang', 'bagus', 'hrga', 'murah', 'pelayanan', 'memuaskan']","['barang', 'bagus', 'hrga', 'murah', 'pelayanan', 'memuaskan']","['barang', 'bagus', 'hrga', 'murah', 'pelayanan', 'memuaskan']","['barang', 'bagus', 'hrga', 'murah', 'layan', 'muas']",barang bagus hrga murah layan muas
17,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,v***a,bagus barangnya sesuai,5,"['bagus', 'barangnya', 'sesuai']","['bagus', 'barangnya', 'sesuai']","['bagus', 'barangnya', 'sesuai']","['bagus', 'barang', 'sesuai']",bagus barang sesuai
18,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,A***s,nan,5,['nan'],['nan'],['nan'],['nan'],nan
19,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Renold,masker medis lumayan cpt sampai di tujuan harga murah tp bkn barang murahansmoga masker medis nya bermanfaat,5,"['masker', 'medis', 'lumayan', 'cpt', 'sampai', 'di', 'tujuan', 'harga', 'murah', 'tp', 'bkn', 'barang', 'murahansmoga', 'masker', 'medis', 'nya', 'bermanfaat']","['masker', 'medis', 'lumayan', 'cepat', 'sampai', 'di', 'tujuan', 'harga', 'murah', 'tp', 'bkn', 'barang', 'murahansmoga', 'masker', 'medis', 'nya', 'bermanfaat']","['masker', 'medis', 'lumayan', 'cepat', 'tujuan', 'harga', 'murah', 'tp', 'bkn', 'barang', 'murahansmoga', 'masker', 'medis', 'nya', 'bermanfaat']","['masker', 'medis', 'lumayan', 'cepat', 'tuju', 'harga', 'murah', 'tp', 'bkn', 'barang', 'murahansmoga', 'masker', 'medis', 'nya', 'manfaat']",masker medis lumayan cepat tuju harga murah tp bkn barang murahansmoga masker medis nya manfaat
20,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Parama,seperti biasa sesuai pesanan packing baik pengiriman cepat terima kasih yaa,5,"['seperti', 'biasa', 'sesuai', 'pesanan', 'packing', 'baik', 'pengiriman', 'cepat', 'terima', 'kasih', 'yaa']","['seperti', 'biasa', 'sesuai', 'pesanan', 'packing', 'baik', 'pengiriman', 'cepat', 'terima', 'kasih', 'yaa']","['sesuai', 'pesanan', 'packing', 'pengiriman', 'cepat', 'terima', 'kasih', 'yaa']","['sesuai', 'pesan', 'packing', 'kirim', 'cepat', 'terima', 'kasih', 'yaa']",sesuai pesan packing kirim cepat terima kasih yaa
21,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,S***l,sesuai harga,4,"['sesuai', 'harga']","['sesuai', 'harga']","['sesuai', 'harga']","['sesuai', 'harga']",sesuai harga
22,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Galih,pengiriman cepat barang sesuai,5,"['pengiriman', 'cepat', 'barang', 'sesuai']","['pengiriman', 'cepat', 'barang', 'sesuai']","['pengiriman', 'cepat', 'barang', 'sesuai']","['kirim', 'cepat', 'barang', 'sesuai']",kirim cepat barang sesuai
23,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Sujatmiko,sesuai pesanan sipp,5,"['sesuai', 'pesanan', 'sipp']","['sesuai', 'pesanan', 'sipp']","['sesuai', 'pesanan', 'sipp']","['sesuai', 'pesan', 'sipp']",sesuai pesan sipp
24,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,A***s,nice one,5,"['nice', 'one']","['nice', 'one']","['nice', 'one']","['nice', 'one']",nice one
25,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Hae,sesuai pesanan,5,"['sesuai', 'pesanan']","['sesuai', 'pesanan']","['sesuai', 'pesanan']","['sesuai', 'pesan']",sesuai pesan
26,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,M***i,barangnya udah nyampe di rumah,5,"['barangnya', 'udah', 'nyampe', 'di', 'rumah']","['barangnya', 'udah', 'nyampe', 'di', 'rumah']","['barangnya', 'udah', 'nyampe', 'rumah']","['barang', 'udah', 'nyampe', 'rumah']",barang udah nyampe rumah
27,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Achmad,di proses nya cepet thanks gan,5,"['di', 'proses', 'nya', 'cepet', 'thanks', 'gan']","['di', 'proses', 'nya', 'cepet', 'thanks', 'gan']","['proses', 'nya', 'cepet', 'thanks', 'gan']","['proses', 'nya', 'cepet', 'thanks', 'gan']",proses nya cepet thanks gan
28,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,M***r,barang sesuai pesanan,5,"['barang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesan']",barang sesuai pesan
29,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,s***a,pengiriman nya sangat cepat barang sampe dengan aman tidak ada kerusakan,5,"['pengiriman', 'nya', 'sangat', 'cepat', 'barang', 'sampe', 'dengan', 'aman', 'tidak', 'ada', 'kerusakan']","['pengiriman', 'nya', 'sangat', 'cepat', 'barang', 'sampe', 'dengan', 'aman', 'tidak', 'ada', 'kerusakan']","['pengiriman', 'nya', 'cepat', 'barang', 'sampe', 'aman', 'kerusakan']","['kirim', 'nya', 'cepat', 'barang', 'sampe', 'aman', 'rusa']",kirim nya cepat barang sampe aman rusa
30,Masker Evo PlusMed 4d Medis - Putih,A***i,masker favorite lebih seneng beli dari official store karena lebih terjamin,5,"['masker', 'favorite', 'lebih', 'seneng', 'beli', 'dari', 'official', 'store', 'karena', 'lebih', 'terjamin']","['masker', 'favorite', 'lebih', 'seneng', 'beli', 'dari', 'official', 'store', 'karena', 'lebih', 'terjamin']","['masker', 'favorite', 'seneng', 'beli', 'official', 'store', 'terjamin']","['masker', 'favorite', 'neng', 'beli', 'official', 'store', 'jamin']",masker favorite neng beli official store jamin
31,Masker Evo PlusMed 4d Medis - Putih,L***a,packingan sangat bagus rapi di bubblewrap dan pengiriman sangat cepat sesuai janjinya besok sampe sangat puas,5,"['packingan', 'sangat', 'bagus', 'rapi', 'di', 'bubblewrap', 'dan', 'pengiriman', 'sangat', 'cepat', 'sesuai', 'janjinya', 'besok', 'sampe', 'sangat', 'puas']","['packingan', 'sangat', 'bagus', 'rapi', 'di', 'bubblewrap', 'dan', 'pengiriman', 'sangat', 'cepat', 'sesuai', 'janjinya', 'besok', 'sampe', 'sangat', 'puas']","['packingan', 'bagus', 'rapi', 'bubblewrap', 'pengiriman', 'cepat', 'sesuai', 'janjinya', 'besok', 'sampe', 'puas']","['packingan', 'bagus', 'rapi', 'bubblewrap', 'kirim', 'cepat', 'sesuai', 'janji', 'besok', 'sampe', 'puas']",packingan bagus rapi bubblewrap kirim cepat sesuai janji besok sampe puas
32,Masker Evo PlusMed 4d Medis - Putih,cynthia,kualitas okpengiriman cepet bangetdapet cashback lagi,5,"['kualitas', 'okpengiriman', 'cepet', 'bangetdapet', 'cashback', 'lagi']","['kualitas', 'okpengiriman', 'cepet', 'bangetdapet', 'cashback', 'lagi']","['kualitas', 'okpengiriman', 'cepet', 'bangetdapet', 'cashback']","['kualitas', 'okpengiriman', 'cepet', 'bangetdapet', 'cashback']",kualitas okpengiriman cepet bangetdapet cashback
33,Masker Evo PlusMed 4d Medis - Putih,B***k,barang sesuai pesanan dan cepat sampai,5,"['barang', 'sesuai', 'pesanan', 'dan', 'cepat', 'sampai']","['barang', 'sesuai', 'pesanan', 'dan', 'cepat', 'sampai']","['barang', 'sesuai', 'pesanan', 'cepat']","['barang', 'sesuai', 'pesan', 'cepat']",barang sesuai pesan cepat
34,Masker Evo PlusMed 4d Medis - Putih,Novi,barang asli evorecomended,5,"['barang', 'asli', 'evorecomended']","['barang', 'asli', 'evorecomended']","['barang', 'asli', 'evorecomended']","['barang', 'asli', 'evorecomended']",barang asli evorecomended
35,Masker Evo PlusMed 4d Medis - Putih,J***a,pesen masker warna hijau datangnya warna pink,2,"['pesen', 'masker', 'warna', 'hijau', 'datangnya', 'warna', 'pink']","['pesen', 'masker', 'warna', 'hijau', 'datangnya', 'warna', 'pink']","['pesen', 'masker', 'warna', 'hijau', 'datangnya', 'warna', 'pink']","['sen', 'masker', 'warna', 'hijau', 'datang', 'warna', 'pink']",sen masker warna hijau datang warna pink
36,Masker Evo PlusMed 4d Medis - Putih,G***i,baru pertama order pengemasan bagus spt biasa cepat dan semoga nambah warna lain yg cute yaaa,5,"['baru', 'pertama', 'order', 'pengemasan', 'bagus', 'spt', 'biasa', 'cepat', 'dan', 'semoga', 'nambah', 'warna', 'lain', 'yg', 'cute', 'yaaa']","['baru', 'pertama', 'order', 'pengemasan', 'bagus', 'spt', 'biasa', 'cepat', 'dan', 'semoga', 'nambah', 'warna', 'lain', 'yang', 'cute', 'yaaa']","['order', 'pengemasan', 'bagus', 'spt', 'cepat', 'semoga', 'nambah', 'warna', 'cute', 'yaaa']","['order', 'emas', 'bagus', 'spt', 'cepat', 'moga', 'nambah', 'warna', 'cute', 'yaaa']",order emas bagus spt cepat moga nambah warna cute yaaa
37,Masker Evo PlusMed 4d Medis - Putih,M***i,selalu jd pilihan no masker medis sy dan keluarga,5,"['selalu', 'jd', 'pilihan', 'no', 'masker', 'medis', 'sy', 'dan', 'keluarga']","['selalu', 'jd', 'pilihan', 'no', 'masker', 'medis', 'sy', 'dan', 'keluarga']","['jd', 'pilihan', 'no', 'masker', 'medis', 'sy', 'keluarga']","['jd', 'pilih', 'no', 'masker', 'medis', 'sy', 'keluarga']",jd pilih no masker medis sy keluarga
38,Masker Evo PlusMed 4d Medis - Putih,Felix,dari mulai packing hingga ke fisik barang rapi dan safety terima kasih dapat souvenir na lagi,5,"['dari', 'mulai', 'packing', 'hingga', 'ke', 'fisik', 'barang', 'rapi', 'dan', 'safety', 'terima', 'kasih', 'dapat', 'souvenir', 'na', 'lagi']","['dari', 'mulai', 'packing', 'hingga', 'ke', 'fisik', 'barang', 'rapi', 'dan', 'safety', 'terima', 'kasih', 'dapat', 'souvenir', 'na', 'lagi']","['packing', 'fisik', 'barang', 'rapi', 'safety', 'terima', 'kasih', 'souvenir', 'na']","['packing', 'fisik', 'barang', 'rapi', 'safety', 'terima', 'kasih', 'souvenir', 'na']",packing fisik barang rapi safety terima kasih souvenir na
39,Masker Evo PlusMed 4d Medis - Putih,Celine,bagusss,5,['bagusss'],['bagusss'],['bagusss'],['bagusss'],bagusss
40,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,J***a,langganan,5,['langganan'],['langganan'],['langganan'],['langgan'],langgan
41,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Rita,sukaa rapat nyaman banget,5,"['sukaa', 'rapat', 'nyaman', 'banget']","['sukaa', 'rapat', 'nyaman', 'banget']","['sukaa', 'rapat', 'nyaman', 'banget']","['sukaa', 'rapat', 'nyaman', 'banget']",sukaa rapat nyaman banget
42,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Y***A,proses cepat respon penjual ramah packaging rapi mantaaaaaapp,5,"['proses', 'cepat', 'respon', 'penjual', 'ramah', 'packaging', 'rapi', 'mantaaaaaapp']","['proses', 'cepat', 'respon', 'penjual', 'ramah', 'packaging', 'rapi', 'mantaaaaaapp']","['proses', 'cepat', 'respon', 'penjual', 'ramah', 'packaging', 'rapi', 'mantaaaaaapp']","['proses', 'cepat', 'respon', 'jual', 'ramah', 'packaging', 'rapi', 'mantaaaaaapp']",proses cepat respon jual ramah packaging rapi mantaaaaaapp
43,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,B***a,good quality terpercaya,5,"['good', 'quality', 'terpercaya']","['good', 'quality', 'terpercaya']","['good', 'quality', 'terpercaya']","['good', 'quality', 'percaya']",good quality percaya
44,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Derry,pengiriman cepat pdhal dari bandung mantap lah,5,"['pengiriman', 'cepat', 'pdhal', 'dari', 'bandung', 'mantap', 'lah']","['pengiriman', 'cepat', 'pdhal', 'dari', 'bandung', 'mantap', 'lah']","['pengiriman', 'cepat', 'pdhal', 'bandung', 'mantap']","['kirim', 'cepat', 'pdhal', 'bandung', 'mantap']",kirim cepat pdhal bandung mantap
45,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Firdaus,respon cepat packing rapi pengiriman tepat waktu barang sesuai,5,"['respon', 'cepat', 'packing', 'rapi', 'pengiriman', 'tepat', 'waktu', 'barang', 'sesuai']","['respon', 'cepat', 'packing', 'rapi', 'pengiriman', 'tepat', 'waktu', 'barang', 'sesuai']","['respon', 'cepat', 'packing', 'rapi', 'pengiriman', 'barang', 'sesuai']","['respon', 'cepat', 'packing', 'rapi', 'kirim', 'barang', 'sesuai']",respon cepat packing rapi kirim barang sesuai
46,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,N***a,produk asli terbungkus plastik segel lebih mahal dari toko lain tapi terjamin kualitasnya,5,"['produk', 'asli', 'terbungkus', 'plastik', 'segel', 'lebih', 'mahal', 'dari', 'toko', 'lain', 'tapi', 'terjamin', 'kualitasnya']","['produk', 'asli', 'terbungkus', 'plastik', 'segel', 'lebih', 'mahal', 'dari', 'toko', 'lain', 'tapi', 'terjamin', 'kualitasnya']","['produk', 'asli', 'terbungkus', 'plastik', 'segel', 'mahal', 'toko', 'terjamin', 'kualitasnya']","['produk', 'asli', 'bungkus', 'plastik', 'segel', 'mahal', 'toko', 'jamin', 'kualitas']",produk asli bungkus plastik segel mahal toko jamin kualitas
47,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Denys,bagus,5,['bagus'],['bagus'],['bagus'],['bagus'],bagus
48,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,R***z,recomended,5,['recomended'],['rekomendasi'],['rekomendasi'],['rekomendasi'],rekomendasi
49,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,A***i,pengiriman nya cepat,5,"['pengiriman', 'nya', 'cepat']","['pengiriman', 'nya', 'cepat']","['pengiriman', 'nya', 'cepat']","['kirim', 'nya', 'cepat']",kirim nya cepat
50,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Nova,re order yg ke sekian kali mantaap puas order di sini,5,"['re', 'order', 'yg', 'ke', 'sekian', 'kali', 'mantaap', 'puas', 'order', 'di', 'sini']","['re', 'order', 'yang', 'ke', 'sekian', 'kali', 'mantaap', 'puas', 'order', 'di', 'sini']","['re', 'order', 'sekian', 'kali', 'mantaap', 'puas', 'order']","['re', 'order', 'sekian', 'kali', 'mantaap', 'puas', 'order']",re order sekian kali mantaap puas order
51,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,A***d,barang sudah di terima terima kasih,5,"['barang', 'sudah', 'di', 'terima', 'terima', 'kasih']","['barang', 'sudah', 'di', 'terima', 'terima', 'kasih']","['barang', 'terima', 'terima', 'kasih']","['barang', 'terima', 'terima', 'kasih']",barang terima terima kasih
52,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,edduwar,barang baguz dan cepat tiba,5,"['barang', 'baguz', 'dan', 'cepat', 'tiba']","['barang', 'baguz', 'dan', 'cepat', 'tiba']","['barang', 'baguz', 'cepat']","['barang', 'baguz', 'cepat']",barang baguz cepat
53,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Seindah,gak pernah rugi beli di toko ini rekomended,5,"['gak', 'pernah', 'rugi', 'beli', 'di', 'toko', 'ini', 'rekomended']","['tidak', 'pernah', 'rugi', 'beli', 'di', 'toko', 'ini', 'rekomendasi']","['rugi', 'beli', 'toko', 'rekomendasi']","['rugi', 'beli', 'toko', 'rekomendasi']",rugi beli toko rekomendasi
54,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,A***s,nan,5,['nan'],['nan'],['nan'],['nan'],nan
55,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,David,mantul,5,['mantul'],['mantul'],['mantul'],['mantul'],mantul
56,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Anggia,hanya dibungkus plastik dan bukan sealed di dalam banyak debu dan kotor lain,2,"['hanya', 'dibungkus', 'plastik', 'dan', 'bukan', 'sealed', 'di', 'dalam', 'banyak', 'debu', 'dan', 'kotor', 'lain']","['hanya', 'dibungkus', 'plastik', 'dan', 'bukan', 'sealed', 'di', 'dalam', 'banyak', 'debu', 'dan', 'kotor', 'lain']","['dibungkus', 'plastik', 'sealed', 'debu', 'kotor']","['bungkus', 'plastik', 'sealed', 'debu', 'kotor']",bungkus plastik sealed debu kotor
57,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,W***a,sippp pembelian ke,5,"['sippp', 'pembelian', 'ke']","['sippp', 'pembelian', 'ke']","['sippp', 'pembelian']","['sippp', 'beli']",sippp beli
58,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,M***d,manstap,5,['manstap'],['manstap'],['manstap'],['manstap'],manstap
